"id_contrato_seller"|"dt_criacao"|"id_seller"|"id_contrato"|"op_type"|"dt_process_stage"|"partition_ano_mes"
112|2023-02-02 10:27:42.000|467|10|I|2023-11-24 01:00:03.000|"197001"
267|2023-05-23 07:30:40.000|927|9|I|2023-11-24 01:00:03.000|"197001"
418|2023-09-26 15:57:05.000|1462|11|I|2023-11-24 01:00:03.000|"197001"
358|2023-08-10 16:46:23.000|1298|10|I|2023-11-24 01:00:03.000|"197001"
390|2023-08-25 16:18:51.000|1353|9|I|2023-11-24 01:00:03.000|"197001"
416|2023-09-26 15:12:25.000|1468|10|I|2023-11-24 01:00:03.000|"197001"
379|2023-08-23 11:53:02.000|1342|11|I|2023-11-24 01:00:03.000|"197001"
291|2023-06-12 14:29:41.000|822|9|I|2023-11-24 01:00:03.000|"197001"
366|2023-08-13 21:23:57.000|1299|11|I|2023-11-24 01:00:03.000|"197001"
142|2023-02-16 10:41:07.000|542|10|I|2023-11-24 01:00:03.000|"197001"
274|2023-06-06 15:06:58.000|1006|11|I|2023-11-24 01:00:03.000|"197001"
338|2023-08-07 15:19:07.000|549|9|I|2023-11-24 01:00:03.000|"197001"
344|2023-08-08 11:13:10.000|1266|9|I|2023-11-24 01:00:03.000|"197001"
127|2023-02-10 09:44:13.000|387|10|I|2023-11-24 01:00:03.000|"197001"
146|2023-02-22 11:12:06.000|462|9|I|2023-11-24 01:00:03.000|"197001"
217|2023-04-06 15:53:49.000|780|9|I|2023-11-24 01:00:03.000|"197001"
145|2023-02-22 11:12:01.000|462|10|I|2023-11-24 01:00:03.000|"197001"
216|2023-04-06 15:52:57.000|780|10|I|2023-11-24 01:00:03.000|"197001"
305|2023-06-20 23:28:12.000|1059|9|I|2023-11-24 01:00:03.000|"197001"
64|2022-12-23 18:26:38.000|279|6|I|2023-11-24 01:00:03.000|"197001"
300|2023-06-20 17:51:21.000|234|11|I|2023-11-24 01:00:03.000|"197001"
296|2023-06-14 15:47:59.000|213|9|I|2023-11-24 01:00:03.000|"197001"
367|2023-08-13 21:27:31.000|1299|10|I|2023-11-24 01:00:03.000|"197001"
371|2023-08-18 14:14:48.000|1331|9|I|2023-11-24 01:00:03.000|"197001"
415|2023-09-26 15:12:18.000|1468|11|I|2023-11-24 01:00:03.000|"197001"
452|2023-10-24 17:30:25.000|1570|9|I|2023-11-24 01:00:03.000|"197001"
19|2022-11-09 09:42:23.000|100|6|I|2023-11-24 01:00:03.000|"197001"
82|2023-01-10 11:10:04.000|347|10|I|2023-11-24 01:00:03.000|"197001"
266|2023-05-23 07:30:22.000|927|10|I|2023-11-24 01:00:03.000|"197001"
374|2023-08-22 16:38:59.000|881|10|I|2023-11-24 01:00:03.000|"197001"
475|2023-11-22 11:16:50.000|1658|10|I|2023-11-24 01:00:03.000|"197001"
188|2023-03-22 10:33:59.000|694|10|I|2023-11-24 01:00:03.000|"197001"
72|2023-01-04 14:32:50.000|328|10|I|2023-11-24 01:00:03.000|"197001"
