"id_loja","nm_fantasia","nm_nome_loja","fl_produtos_especiais","nm_inscricao_estadual","tx_website","quantidade_skus","op_type","dt_process_stage","partition_ano_mes"
65,ORTOLAR PRODUTOS ORTOPEDICOS E VARIEDADES EM GERAL LTDA,ORTOLAR PRODUTOS ORTOPEDICOS,"0","546.257.203.110",,30,I,2023-11-27 00:01:03.000,"197001"
803,Perfumila Presentes,Perfumila Presentes,"0","451.118.563.116",,300,I,2023-11-27 00:01:03.000,"197001"
630,IMPORTACOES LV,Life e Vitaminas,"0","138649487115",,50,I,2023-11-27 00:01:03.000,"197001"
652,Vitex Saúde,Vitex Produtos para Saúde,"0","134890427117",www.vitexsaude.com.br,120,I,2023-11-27 00:01:03.000,"197001"
867,Dermopac Cosméticos,Dermopac,"0","121100575116",www.Dermopac.com.br,20,I,2023-11-27 00:01:03.000,"197001"
645,Help Cosméticos,Help Cosméticos,"0","260866156",https://www.lojahelpcosmeticos.com.br,5000,I,2023-11-27 00:01:03.000,"197001"
1413,Bora pro Rolê,Bora pro Rolê,"0","124.415.790.119",,1,I,2023-11-27 00:01:03.000,"197001"
1091,SLM Ecommerce,SLM Ecommerce,"0","130345735119",,100,I,2023-11-27 00:01:03.000,"197001"
1262,Multinatural Suplementos Alimentares,Multi Natural,"1","9099503502",www.multinatural.com.br,20,I,2023-11-27 00:01:03.000,"197001"
1297,HOJJI,Hojji Suplementos,"0","128061557110",www.Hojji.com.br,10,I,2023-11-27 00:01:03.000,"197001"
495,Somed produtos para saúde,Somed,"0","121035550114",https://lojasomed.com.br,13,I,2023-11-27 00:01:03.000,"197001"
938,PERFUMARTE,PERFUMARTE,"0","109402685",,2300,I,2023-11-27 00:01:03.000,"197001"
634,A DUQUESA,A DUQUESA,"0","10.798.3532",,1000,I,2023-11-27 00:01:03.000,"197001"
1162,Dita Cuja,Dita Cuja,"1","004306052.0089",www.ditacuja.com,3,I,2023-11-27 00:01:03.000,"197001"
1436,Ecosmeticos,ECOSMETICOS,"0","12898975",,3000,I,2023-11-27 00:01:03.000,"197001"
1173,LUCTOR,LUCTOR,"1","0963813722",www.luctor.com.br,40,I,2023-11-27 00:01:03.000,"197001"
36,I.B.R. IMPORTADORA,I.B.R. IMPORTADORA,"0","134.726.539.113",,1000,I,2023-11-27 00:01:03.000,"197001"
330,Proteus Suplements,Proteus Suplements,"0","132.117.999.114",www.proteus775.com.br,1000,I,2023-11-27 00:01:03.000,"197001"
312,LIQ SHOES,LIQ,"0","10.887.2670",,30,I,2023-11-27 00:01:03.000,"197001"
510,Ara Magazine,ARA Magazine,"0","12.644.922",,920,I,2023-11-27 00:01:03.000,"197001"
732,Rakaus Store,Rakaus Store,"0","121.337.478.114",www.srhomem.com.br,919,I,2023-11-27 00:01:03.000,"197001"
940,Saudável & Cia - Sua Companhia Saudável,Saudável & Cia - Sua Companhia Saudável,"0","110333632",www.saudavelecia.com.br,2500,I,2023-11-27 00:01:03.000,"197001"
1285,VITAL MARK TECH,VITAL MARK TECH,"1","0047022190038",,10,I,2023-11-27 00:01:03.000,"197001"
582,Dublade Store,DuBlade Store,"0","136.048.101.117",,500,I,2023-11-27 00:01:03.000,"197001"
817,L.SAPATIERI COSMETICOS LTDA,iBella Cosméticos,"0","249043967110",https://www.ibellacosmeticos.com.br,2850,I,2023-11-27 00:01:03.000,"197001"
1161,Rainha do Pechinchão,Rainha do Pechinchão,"0","134594846115",,300,I,2023-11-27 00:01:03.000,"197001"
1468,Senhor Vitaminado,Senhor Vitaminado,"0","455.354.396.116",www.senhorvitaminado.com.br,15,I,2023-11-27 00:01:03.000,"197001"
1028,PS STORE COMERCIO DE PRODUTOS DIVERSOS LTDA,PS Cosméticos,"0","45281660080",,100,I,2023-11-27 00:01:03.000,"197001"
1050,wild nature,wild nature,"0","51320095000161",,6,I,2023-11-27 00:01:03.000,"197001"
1101,Velle,Velle,"0","286.694.328.114",vellesex.com.br,120,I,2023-11-27 00:01:03.000,"197001"
321,BXDMQGMJPM- Box da Maquiagem Japiim,Box da Maquiagem,"0","054233178",https://box-da-maquiagem-japiim.minhavitrine.me,13,I,2023-11-27 00:01:03.000,"197001"
532,DOSI,DOSI,"1","284529478",dosi.com.br,200000,I,2023-11-27 00:01:03.000,"197001"
354,Incontinência Masculina,Incontinência Masculina,"0","130543893118",https://www.incontinenciamasculina.com.br,2,I,2023-11-27 00:01:03.000,"197001"
357,Lanue,Lanue,"1","067434460",www.lanue.com.br,4,I,2023-11-27 00:01:03.000,"197001"
896,LE MEDICAL INSTRUMENTS,LE MEDICAL INSTRUMENTS,"0","9083745921",www.lemedical.com.br,100,I,2023-11-27 00:01:03.000,"197001"
1371,Iron Labs,Iron Labs Suplementos Nutricionais,"1","433129734115",www.ironlabs.com.br,12,I,2023-11-27 00:01:03.000,"197001"
1088,LA FLORA NATU - BELEZA E SAUDE,ARMAZÉM LA FLORA,"0","133810216110",,200,I,2023-11-27 00:01:03.000,"197001"
1345,go babies,Sense And Go,"1","49.051.218000164",www.senseandgo.com.br,3,I,2023-11-27 00:01:03.000,"197001"
38,KEYSBRASIL,Meslan,"0","08.109.79000163",www.meslan.com.br,30,I,2023-11-27 00:01:03.000,"197001"
122,ZR MODAS,ELISAMA ALVES SILVERIO DE OLIVEIRA,"0","215031910110",,100,I,2023-11-27 00:01:03.000,"197001"
433,VeganMarket,VeganMarket,"0","123644795110",www.VeganMarket.com.br,300,I,2023-11-27 00:01:03.000,"197001"
203,Toka kids,Toka kids,"0","250604949",,1000,I,2023-11-27 00:01:03.000,"197001"
457,FSL Farma,FSL Farma,"0","3122192740018",www.fslfarma.com,4500,I,2023-11-27 00:01:03.000,"197001"
380,MUNDO MANI ALIMENTOS,MUNDO MANI,"0","344160140112",,20,I,2023-11-27 00:01:03.000,"197001"
855,Logifarma,Logifarma,"0","720.108.294.113",,2000,I,2023-11-27 00:01:03.000,"197001"
870,Desagita,Desagita,"0","0910379432",,10,I,2023-11-27 00:01:03.000,"197001"
1073,Relax 3,Relax 3,"1","207.475.519",www.relax3.com.br,1000,I,2023-11-27 00:01:03.000,"197001"
1047,UTI da Beleza,UTI da Beleza,"0","795.625.116.113",,300,I,2023-11-27 00:01:03.000,"197001"
1013,Nutravité,Nutravité,"0","587494023110",www.nutravite.com.br,1000,I,2023-11-27 00:01:03.000,"197001"
1026,ECOSAUDE APOIO LOGISTICO LTDA,Loja Ecosaúde,"0","122.752.743.113",,250,I,2023-11-27 00:01:03.000,"197001"
793,FOR DERM,For Derm Loja,"0","9086576403",www.forderm.com.br,200,I,2023-11-27 00:01:03.000,"197001"
295,DAFMED COMERCIO DE MATERIAIS CIRURGICOS,DAFMED COMERCIO DE MATERIAIS CIRURGICOS,"0","133.920.545.112",www.dafmed.com.br,15,I,2023-11-27 00:01:03.000,"197001"
709,virtual make,Maquiagem Virtual,"0","796.261.855.116",www.maquiagemvirtual.com.br,1500,I,2023-11-27 00:01:03.000,"197001"
1321,Perfumaria Reis,Loja Marlon,"0","56.11203",,5,I,2023-11-27 00:01:03.000,"197001"
836,Planet Fit,Planet Fit,"0","136.728.079.115",www.planetfit.com.br,500,I,2023-11-27 00:01:03.000,"197001"
1004,Zip toys,Zip baby,"0","371.120.251.115",,20,I,2023-11-27 00:01:03.000,"197001"
1043,Natus beauty,Natus B&S,"0","396135155112",,500,I,2023-11-27 00:01:03.000,"197001"
752,BL Confecções,"3S Soluções Integradas","0","28183590004",,30,I,2023-11-27 00:01:03.000,"197001"
1390,BLUMED DISTRIBUIDORA DE MEDICAMENTOS LTDA,DistriBlu,"0","257031090",,1000,I,2023-11-27 00:01:03.000,"197001"
1143,Home Muscle Suplementos,Home Muscle Suplementos,"1","797075512116",www.homemuscle.com.br,1000,I,2023-11-27 00:01:03.000,"197001"
290,Solmed Hospitalar,Solmed hospitalar,"0","12.465.203",,10,I,2023-11-27 00:01:03.000,"197001"
402,Nutriquantic Produtos Naturais,Nutriquantic Medicina Integrativa,"0","11158102",www.nutriquanticbrasil.com.br,50,I,2023-11-27 00:01:03.000,"197001"
204,OBoticário,Revendedor,"0","9999",,100,I,2023-11-27 00:01:03.000,"197001"
859,Zolve Marketplaces LTDA,Zolve Marketplaces LTDA,"0","120.790.550.114",,40,I,2023-11-27 00:01:03.000,"197001"
1304,Ortopédica Rio do Sul,Ortopédica Rio do Sul,"0","260651753",www.ortopedicariosul.com.br,579,I,2023-11-27 00:01:03.000,"197001"
1083,Zero Saudaveis,Zero Saudaveis,"0","9101883300",,100,I,2023-11-27 00:01:03.000,"197001"
574,FortisVida,Fortisvida,"0","120.536.556.114",https://fortisvida.com.br,1,I,2023-11-27 00:01:03.000,"197001"
1120,Maria,Maria Silva,"0","1111111",,10,I,2023-11-27 00:01:03.000,"197001"
1057,YTrend,YTrend,"0","0290581230",www.ytrend.com.br,100,I,2023-11-27 00:01:03.000,"197001"
133,Nutrivitali,Nutrivitali,"0","257138323",www.nutrivitali.com.br,1000,I,2023-11-27 00:01:03.000,"197001"
